buy_order,sell_order,percent_change
"{'orderType': True, 'location': 1043159223409, 'price': 151.6, 'system': 30000188, 'item': 236, 'volume': 10000}","{'orderType': False, 'location': 60003760, 'price': 137.3, 'system': 30000142, 'item': 236, 'volume': 1303200}",10.415149308084473
"{'orderType': True, 'location': 1044752365771, 'price': 76.52, 'system': 30000144, 'item': 36, 'volume': 730197}","{'orderType': False, 'location': 60012667, 'price': 70.06, 'system': 30000180, 'item': 36, 'volume': 13842}",9.220667998858112
"{'orderType': True, 'location': 60014686, 'price': 28.34, 'system': 30000165, 'item': 41, 'volume': 3809}","{'orderType': False, 'location': 60006430, 'price': 25.97, 'system': 30000135, 'item': 41, 'volume': 22778}",9.1259145167501
"{'orderType': True, 'location': 60003754, 'price': 30000.0, 'system': 30000144, 'item': 15591, 'volume': 128}","{'orderType': False, 'location': 60004237, 'price': 27500.0, 'system': 30000129, 'item': 15591, 'volume': 1}",9.090909090909092
"{'orderType': True, 'location': 60003760, 'price': 88090.0, 'system': 30000142, 'item': 2525, 'volume': 52}","{'orderType': False, 'location': 60006424, 'price': 81000.02, 'system': 30000132, 'item': 2525, 'volume': 277}",8.753059567145781
"{'orderType': True, 'location': 60003760, 'price': 326000.0, 'system': 30000142, 'item': 8863, 'volume': 192}","{'orderType': False, 'location': 60004237, 'price': 300000.0, 'system': 30000129, 'item': 8863, 'volume': 1}",8.666666666666668
"{'orderType': True, 'location': 1044752365771, 'price': 86880000.0, 'system': 30000144, 'item': 24283, 'volume': 4}","{'orderType': False, 'location': 60000484, 'price': 80000000.0, 'system': 30000204, 'item': 24283, 'volume': 3}",8.6
"{'orderType': True, 'location': 60003760, 'price': 8631000.0, 'system': 30000142, 'item': 40361, 'volume': 30}","{'orderType': False, 'location': 60001876, 'price': 8000000.0, 'system': 30000169, 'item': 40361, 'volume': 2}",7.8875
"{'orderType': True, 'location': 1044752365771, 'price': 382300.0, 'system': 30000144, 'item': 16381, 'volume': 195}","{'orderType': False, 'location': 60004237, 'price': 355100.0, 'system': 30000129, 'item': 16381, 'volume': 2}",7.659814136862855
"{'orderType': True, 'location': 60012667, 'price': 430.0, 'system': 30000180, 'item': 12787, 'volume': 6000}","{'orderType': False, 'location': 60003760, 'price': 400.0, 'system': 30000142, 'item': 12787, 'volume': 193400}",7.5
"{'orderType': True, 'location': 1044752365771, 'price': 290000.0, 'system': 30000144, 'item': 16357, 'volume': 417}","{'orderType': False, 'location': 60012667, 'price': 270000.0, 'system': 30000180, 'item': 16357, 'volume': 6}",7.4074074074074066
"{'orderType': True, 'location': 60003760, 'price': 1502.0, 'system': 30000142, 'item': 41032, 'volume': 7189}","{'orderType': False, 'location': 60003136, 'price': 1405.0, 'system': 30000156, 'item': 41032, 'volume': 2}",6.903914590747331
"{'orderType': True, 'location': 60003760, 'price': 5430.0, 'system': 30000142, 'item': 2454, 'volume': 1963}","{'orderType': False, 'location': 60014659, 'price': 5094.0, 'system': 30000141, 'item': 2454, 'volume': 1}",6.595995288574794
